index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 20:15:36.876, 100 %, 32768 MiB, 11281 MiB, 21220 MiB
0, 2024/05/13 20:15:46.879, 100 %, 32768 MiB, 13039 MiB, 19462 MiB
0, 2024/05/13 20:15:56.879, 100 %, 32768 MiB, 10517 MiB, 21984 MiB
0, 2024/05/13 20:16:06.880, 97 %, 32768 MiB, 11075 MiB, 21426 MiB
0, 2024/05/13 20:16:16.881, 100 %, 32768 MiB, 11051 MiB, 21450 MiB
0, 2024/05/13 20:16:26.882, 100 %, 32768 MiB, 10867 MiB, 21634 MiB
0, 2024/05/13 20:16:36.882, 100 %, 32768 MiB, 9499 MiB, 23002 MiB
0, 2024/05/13 20:16:46.883, 100 %, 32768 MiB, 9139 MiB, 23362 MiB
0, 2024/05/13 20:16:56.884, 98 %, 32768 MiB, 11183 MiB, 21318 MiB
0, 2024/05/13 20:17:06.885, 98 %, 32768 MiB, 11213 MiB, 21288 MiB
0, 2024/05/13 20:17:16.886, 100 %, 32768 MiB, 12799 MiB, 19702 MiB
0, 2024/05/13 20:17:26.886, 100 %, 32768 MiB, 12113 MiB, 20388 MiB
0, 2024/05/13 20:17:36.887, 100 %, 32768 MiB, 10353 MiB, 22148 MiB
0, 2024/05/13 20:17:46.888, 100 %, 32768 MiB, 10571 MiB, 21930 MiB
0, 2024/05/13 20:17:56.888, 100 %, 32768 MiB, 11847 MiB, 20654 MiB
0, 2024/05/13 20:18:06.889, 100 %, 32768 MiB, 11637 MiB, 20864 MiB
0, 2024/05/13 20:18:16.890, 100 %, 32768 MiB, 12611 MiB, 19890 MiB
0, 2024/05/13 20:18:26.891, 100 %, 32768 MiB, 10853 MiB, 21648 MiB
0, 2024/05/13 20:18:36.891, 100 %, 32768 MiB, 12065 MiB, 20436 MiB
0, 2024/05/13 20:18:46.892, 100 %, 32768 MiB, 11915 MiB, 20586 MiB
0, 2024/05/13 20:18:56.893, 100 %, 32768 MiB, 11745 MiB, 20756 MiB
0, 2024/05/13 20:19:06.894, 100 %, 32768 MiB, 11339 MiB, 21162 MiB
0, 2024/05/13 20:19:16.894, 100 %, 32768 MiB, 11057 MiB, 21444 MiB
0, 2024/05/13 20:19:26.895, 97 %, 32768 MiB, 12617 MiB, 19884 MiB
0, 2024/05/13 20:19:36.896, 100 %, 32768 MiB, 10489 MiB, 22012 MiB
0, 2024/05/13 20:19:46.896, 100 %, 32768 MiB, 10871 MiB, 21630 MiB
0, 2024/05/13 20:19:56.897, 100 %, 32768 MiB, 11027 MiB, 21474 MiB
0, 2024/05/13 20:20:06.898, 100 %, 32768 MiB, 11903 MiB, 20598 MiB
0, 2024/05/13 20:20:16.899, 100 %, 32768 MiB, 10585 MiB, 21916 MiB
0, 2024/05/13 20:20:26.899, 100 %, 32768 MiB, 10761 MiB, 21740 MiB
0, 2024/05/13 20:20:36.900, 100 %, 32768 MiB, 11051 MiB, 21450 MiB
0, 2024/05/13 20:20:46.901, 100 %, 32768 MiB, 11893 MiB, 20608 MiB
0, 2024/05/13 20:20:56.902, 100 %, 32768 MiB, 11321 MiB, 21180 MiB
0, 2024/05/13 20:21:06.902, 100 %, 32768 MiB, 12619 MiB, 19882 MiB
0, 2024/05/13 20:21:16.903, 100 %, 32768 MiB, 9731 MiB, 22770 MiB
0, 2024/05/13 20:21:26.904, 100 %, 32768 MiB, 12811 MiB, 19690 MiB
0, 2024/05/13 20:21:36.905, 100 %, 32768 MiB, 11119 MiB, 21382 MiB
0, 2024/05/13 20:21:46.905, 100 %, 32768 MiB, 11551 MiB, 20950 MiB
0, 2024/05/13 20:21:56.906, 100 %, 32768 MiB, 10997 MiB, 21504 MiB
